Year,Source details,SERIES,COMPOSITE_BREAKDOWN,Value
2018,Security Council website https://www.un.org/securitycouncil/content/current-members,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,6.6667
2019,Security Council website https://www.un.org/securitycouncil/content/current-members,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,6.6667
2020,Security Council website https://www.un.org/securitycouncil/content/current-members,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,6.66667
2000,WTO Annual Report 2020,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,0.7143
2005,WTO Annual Report 2020,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,0.6711
2010,WTO Annual Report 2020,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,0.6536
2015,WTO Annual Report 2020,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,0.625
2016,WTO Annual Report 2020,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,0.6173
2017,WTO Annual Report 2020,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,0.6098
2018,WTO Annual Report 2020,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,0.6098
2019,WTO Annual Report 2020,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,0.6098
2020,WTO Annual Report 2020,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,0.60976
