Year,SERIES,Country,Sex,Observation status,Unit multiplier,UNIT_MEASURE,Reporting type,Value
2018,Under-five mortality rate [3.2.1],Wales,Male,Normal value,Units,"Per 1,000 live births",National,4.5
2018,Under-five mortality rate [3.2.1],Wales,Female,Normal value,Units,"Per 1,000 live births",National,3.99
2018,Under-five mortality rate [3.2.1],Scotland,,Normal value,Units,"Per 1,000 live births",National,3.72
2018,Under-five mortality rate [3.2.1],Scotland,Male,Normal value,Units,"Per 1,000 live births",National,3.68
2018,Under-five mortality rate [3.2.1],Scotland,Female,Normal value,Units,"Per 1,000 live births",National,3.76
2019,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",National,4.27
2019,Under-five mortality rate [3.2.1],,Male,Normal value,Units,"Per 1,000 live births",National,4.57
2019,Under-five mortality rate [3.2.1],,Female,Normal value,Units,"Per 1,000 live births",National,3.95
2019,Under-five mortality rate [3.2.1],England and Wales,,Normal value,Units,"Per 1,000 live births",National,4.25
2019,Under-five mortality rate [3.2.1],England,,Normal value,Units,"Per 1,000 live births",National,4.2
2019,Under-five mortality rate [3.2.1],England,Male,Normal value,Units,"Per 1,000 live births",National,4.49
2019,Under-five mortality rate [3.2.1],England,Female,Normal value,Units,"Per 1,000 live births",National,3.9
2019,Under-five mortality rate [3.2.1],Wales,,Normal value,Units,"Per 1,000 live births",National,4.38
2019,Under-five mortality rate [3.2.1],Wales,Male,Normal value,Units,"Per 1,000 live births",National,4.28
2019,Under-five mortality rate [3.2.1],Wales,Female,Normal value,Units,"Per 1,000 live births",National,4.48
2019,Under-five mortality rate [3.2.1],Scotland,,Normal value,Units,"Per 1,000 live births",National,3.97
2019,Under-five mortality rate [3.2.1],Scotland,Male,Normal value,Units,"Per 1,000 live births",National,4.63
2019,Under-five mortality rate [3.2.1],Scotland,Female,Normal value,Units,"Per 1,000 live births",National,3.27
2020,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",National,4.06
2020,Under-five mortality rate [3.2.1],,Male,Normal value,Units,"Per 1,000 live births",National,4.51
2020,Under-five mortality rate [3.2.1],,Female,Normal value,Units,"Per 1,000 live births",National,3.58
2020,Under-five mortality rate [3.2.1],England and Wales,,Normal value,Units,"Per 1,000 live births",National,4.05
2020,Under-five mortality rate [3.2.1],England,,Normal value,Units,"Per 1,000 live births",National,4.01
2020,Under-five mortality rate [3.2.1],England,Male,Normal value,Units,"Per 1,000 live births",National,4.46
2020,Under-five mortality rate [3.2.1],England,Female,Normal value,Units,"Per 1,000 live births",National,3.53
2020,Under-five mortality rate [3.2.1],Wales,,Normal value,Units,"Per 1,000 live births",National,4.57
2020,Under-five mortality rate [3.2.1],Wales,Male,Normal value,Units,"Per 1,000 live births",National,5.38
2020,Under-five mortality rate [3.2.1],Wales,Female,Normal value,Units,"Per 1,000 live births",National,3.73
2020,Under-five mortality rate [3.2.1],Scotland,,Normal value,Units,"Per 1,000 live births",National,3.72
2020,Under-five mortality rate [3.2.1],Scotland,Male,Normal value,Units,"Per 1,000 live births",National,3.88
2020,Under-five mortality rate [3.2.1],Scotland,Female,Normal value,Units,"Per 1,000 live births",National,3.55
2000,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",Global,6.5
2001,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",Global,6.4
2002,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",Global,6.3
2003,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",Global,6.2
2004,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",Global,6.1
2005,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",Global,6.0
2006,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",Global,5.9
2007,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",Global,5.8
2008,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",Global,5.6
2009,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",Global,5.4
2010,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",Global,5.2
2011,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",Global,5.0
2012,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",Global,4.8
2013,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",Global,4.7
2014,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",Global,4.5
2015,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",Global,4.5
2016,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",Global,4.4
2017,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",Global,4.4
2018,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",Global,4.3
2019,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",Global,4.3
2020,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",Global,4.2
2000,Under-five mortality rate [3.2.1],,Female,Normal value,Units,"Per 1,000 live births",Global,5.8
2001,Under-five mortality rate [3.2.1],,Female,Normal value,Units,"Per 1,000 live births",Global,5.8
2002,Under-five mortality rate [3.2.1],,Female,Normal value,Units,"Per 1,000 live births",Global,5.7
2003,Under-five mortality rate [3.2.1],,Female,Normal value,Units,"Per 1,000 live births",Global,5.6
2004,Under-five mortality rate [3.2.1],,Female,Normal value,Units,"Per 1,000 live births",Global,5.5
2005,Under-five mortality rate [3.2.1],,Female,Normal value,Units,"Per 1,000 live births",Global,5.4
2006,Under-five mortality rate [3.2.1],,Female,Normal value,Units,"Per 1,000 live births",Global,5.3
2007,Under-five mortality rate [3.2.1],,Female,Normal value,Units,"Per 1,000 live births",Global,5.2
2008,Under-five mortality rate [3.2.1],,Female,Normal value,Units,"Per 1,000 live births",Global,5.0
2009,Under-five mortality rate [3.2.1],,Female,Normal value,Units,"Per 1,000 live births",Global,4.8
2010,Under-five mortality rate [3.2.1],,Female,Normal value,Units,"Per 1,000 live births",Global,4.7
2011,Under-five mortality rate [3.2.1],,Female,Normal value,Units,"Per 1,000 live births",Global,4.4
2012,Under-five mortality rate [3.2.1],,Female,Normal value,Units,"Per 1,000 live births",Global,4.3
2013,Under-five mortality rate [3.2.1],,Female,Normal value,Units,"Per 1,000 live births",Global,4.2
2014,Under-five mortality rate [3.2.1],,Female,Normal value,Units,"Per 1,000 live births",Global,4.1
2015,Under-five mortality rate [3.2.1],,Female,Normal value,Units,"Per 1,000 live births",Global,4.0
2016,Under-five mortality rate [3.2.1],,Female,Normal value,Units,"Per 1,000 live births",Global,4.0
2017,Under-five mortality rate [3.2.1],,Female,Normal value,Units,"Per 1,000 live births",Global,4.0
2018,Under-five mortality rate [3.2.1],,Female,Normal value,Units,"Per 1,000 live births",Global,3.9
2019,Under-five mortality rate [3.2.1],,Female,Normal value,Units,"Per 1,000 live births",Global,3.9
2020,Under-five mortality rate [3.2.1],,Female,Normal value,Units,"Per 1,000 live births",Global,3.8
2000,Under-five mortality rate [3.2.1],,Male,Normal value,Units,"Per 1,000 live births",Global,7.2
2001,Under-five mortality rate [3.2.1],,Male,Normal value,Units,"Per 1,000 live births",Global,7.1
2002,Under-five mortality rate [3.2.1],,Male,Normal value,Units,"Per 1,000 live births",Global,7.0
2003,Under-five mortality rate [3.2.1],,Male,Normal value,Units,"Per 1,000 live births",Global,6.8
2004,Under-five mortality rate [3.2.1],,Male,Normal value,Units,"Per 1,000 live births",Global,6.7
2005,Under-five mortality rate [3.2.1],,Male,Normal value,Units,"Per 1,000 live births",Global,6.6
2006,Under-five mortality rate [3.2.1],,Male,Normal value,Units,"Per 1,000 live births",Global,6.5
2007,Under-five mortality rate [3.2.1],,Male,Normal value,Units,"Per 1,000 live births",Global,6.3
2008,Under-five mortality rate [3.2.1],,Male,Normal value,Units,"Per 1,000 live births",Global,6.1
2009,Under-five mortality rate [3.2.1],,Male,Normal value,Units,"Per 1,000 live births",Global,5.9
2010,Under-five mortality rate [3.2.1],,Male,Normal value,Units,"Per 1,000 live births",Global,5.7
2011,Under-five mortality rate [3.2.1],,Male,Normal value,Units,"Per 1,000 live births",Global,5.5
2012,Under-five mortality rate [3.2.1],,Male,Normal value,Units,"Per 1,000 live births",Global,5.3
2013,Under-five mortality rate [3.2.1],,Male,Normal value,Units,"Per 1,000 live births",Global,5.1
2014,Under-five mortality rate [3.2.1],,Male,Normal value,Units,"Per 1,000 live births",Global,5.0
2015,Under-five mortality rate [3.2.1],,Male,Normal value,Units,"Per 1,000 live births",Global,4.9
2016,Under-five mortality rate [3.2.1],,Male,Normal value,Units,"Per 1,000 live births",Global,4.8
2017,Under-five mortality rate [3.2.1],,Male,Normal value,Units,"Per 1,000 live births",Global,4.8
2018,Under-five mortality rate [3.2.1],,Male,Normal value,Units,"Per 1,000 live births",Global,4.7
2019,Under-five mortality rate [3.2.1],,Male,Normal value,Units,"Per 1,000 live births",Global,4.7
2020,Under-five mortality rate [3.2.1],,Male,Normal value,Units,"Per 1,000 live births",Global,4.6
