Year,Source details,SERIES,UNIT_MEASURE,Observation-level footnotes,Value
1996,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,Quarter four data of the year in reference,42.9441
1997,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,Quarter four data of the year in reference,42.5806
1998,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,Quarter four data of the year in reference,40.4816
1999,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,Quarter four data of the year in reference,39.1413
2000,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,Quarter four data of the year in reference,36.5141
2001,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,Quarter four data of the year in reference,33.7842
2002,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,Quarter four data of the year in reference,33.9035
2003,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,Quarter four data of the year in reference,34.9266
2004,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,Quarter four data of the year in reference,37.748
2005,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,Quarter four data of the year in reference,38.8607
2006,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,Quarter four data of the year in reference,39.6736
2007,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,Quarter four data of the year in reference,40.6666
2008,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,Quarter four data of the year in reference,48.5693
2009,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,Quarter four data of the year in reference,62.9603
2010,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,Quarter four data of the year in reference,73.9331
2011,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,Quarter four data of the year in reference,79.6287
2012,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,Quarter four data of the year in reference,82.7704
2013,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,Quarter four data of the year in reference,83.7786
2014,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,Quarter four data of the year in reference,85.6283
2015,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,Quarter four data of the year in reference,86.2465
2016,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,Quarter four data of the year in reference,86.2784
2017,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,Quarter four data of the year in reference,85.745
2018,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,Quarter four data of the year in reference,85.2181
2019,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,Quarter four data of the year in reference,84.7403
2020,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,Quarter four data of the year in reference,103.9761
2008,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,,4.4133
2009,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,,5.393
2010,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,,5.3661
2011,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,,5.0996
2012,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,,5.509
2013,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,,6.3455
2014,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,,5.6213
2015,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,,6.8382
2016,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,,7.0252
2017,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,,6.7847
2018,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,,6.8165
1970,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.2159
1971,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,3.3581
1972,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.8048
1973,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.7273
1974,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.6035
1975,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.1853
1976,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,0.9551
1977,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,3.2101
1978,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,2.3762
1979,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,2.3251
1980,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,2.0089
1981,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.4116
1982,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.3034
1983,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.2557
1984,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,0.9864
1985,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.1944
1986,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.47
1987,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,2.3572
1988,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.9472
1989,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.4359
1990,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.2656
1991,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.4934
1992,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.3381
1993,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.4463
1994,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.4682
1995,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.2749
1996,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.1233
1997,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,0.8482
1998,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,0.8497
1999,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,0.9153
2000,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,0.9411
2001,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,0.8819
2002,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.0152
2003,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,0.9365
2004,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,0.8507
2005,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,0.6975
2006,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,0.6093
2007,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,0.6285
2008,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,0.5422
2009,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,0.9759
2010,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.1485
2011,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.1348
2012,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.2239
2013,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.2078
2014,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.2297
2015,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.5904
2016,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.5236
2017,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.6221
2018,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.6643
2019,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,1.7193
2020,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,,2.2329
1960,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,7.7459
1961,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,9.0074
1962,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,8.8593
1963,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,10.1242
1964,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,14.4984
1965,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,12.0246
1966,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,12.0643
1967,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,15.1655
1968,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,14.073
1969,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,15.5241
1970,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,14.7584
1971,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,5.5206
1972,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,10.4445
1973,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,10.2169
1974,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,8.7852
1975,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,11.7546
1976,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,12.95
1977,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,3.5934
1978,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,5.0798
1979,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,4.5966
1980,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,5.4732
1981,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,8.2506
1982,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,8.8166
1983,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,9.5643
1984,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,11.3675
1985,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,9.7874
1986,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,10.1127
1987,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,10.8384
1988,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,13.5029
1989,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,18.2708
1990,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,21.5261
1991,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,19.3086
1992,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,15.5462
1993,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,13.5486
1994,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,13.6165
1995,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,16.5226
1996,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,19.6829
1997,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,32.1454
1998,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,38.1151
1999,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,32.6777
2000,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,30.7768
2001,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,34.2299
2002,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,32.2856
2003,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,37.6618
2004,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,42.0607
2005,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,49.9701
2006,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,53.4581
2007,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,55.2894
2008,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,71.7837
2009,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,49.5725
2010,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,41.4428
2011,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,36.6915
2012,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,34.1441
2013,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,34.0386
2014,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,33.3097
2015,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,26.5079
2016,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,27.956
2017,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,25.8118
2018,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,24.6167
2019,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,23.1094
2020,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,,24.5466
1961,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,2.7253
1962,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,-2.0738
1963,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,8.7761
1964,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,5.4547
1965,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,7.5593
1966,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,3.5874
1967,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,10.7628
1968,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,7.1765
1969,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,3.1122
1970,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,9.4329
1971,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,13.2111
1972,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,27.9014
1973,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,27.5368
1974,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,12.9318
1975,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,7.1388
1976,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,11.5708
1977,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,9.4857
1978,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,14.5677
1979,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,12.4873
1980,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,18.4669
1981,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,25.1755
1982,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,13.6549
1983,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,10.2605
1984,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,11.5066
1985,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,11.245
1986,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,22.5633
1987,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,89.3311
1988,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,16.6718
1989,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,20.126
1990,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,10.5212
1991,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,1.6615
1992,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,-28.6298
1993,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,4.6951
1994,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,7.6548
1995,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,20.2913
1996,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,14.5065
1997,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,25.5052
1998,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,20.8452
1999,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,4.3967
2000,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,11.0636
2001,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,8.8247
2002,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,4.994
2003,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,9.7977
2004,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,9.8216
2005,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,13.8495
2006,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,14.0975
2007,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,15.8115
2008,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,17.8034
2009,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,-0.0651
2010,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,3.99
2011,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,-4.418
2012,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,0.7699
2013,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,2.1023
2014,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,-2.5344
2015,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,1.9742
2016,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,8.7168
2017,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,8.2963
2018,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,5.2998
2019,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,-1.3642
2020,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,,9.7033
1960,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,,1.0036
1961,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,,3.4475
1962,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,,4.1965
