Year,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Sex,Age,Disability status,Observation-level footnotes,Source details,Value
2007,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.7
2008,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.2
2009,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,6.3
2010,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,6.4
2011,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,6.2
2012,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.8
2013,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.6
2014,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.4
2015,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.8
2016,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.5
2017,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.1
2018,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,2.9
2019,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,2.7
2000,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,13.5
2001,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,11.8
2002,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,12.8
2003,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,13.1
2004,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,11.6
2005,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,14.3
2006,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,15.7
2007,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,15.9
2008,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,17.0
2009,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,21.9
2010,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,22.0
2011,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,23.8
2012,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,23.9
2013,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,23.0
2014,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,18.9
2015,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,16.2
2016,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,14.8
2017,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,13.5
2018,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,12.2
2019,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,13.0
2012,Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population | Unemployment definition: Self-declared labour status,HS - European Health and Social Integration Survey,"Unemployment rate, by disability [8.5.2]",,,,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,18.0
2015,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,"Unemployment rate, by disability [8.5.2]",,,,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,5.5
2012,Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population | Unemployment definition: Self-declared labour status,HS - European Health and Social Integration Survey,"Unemployment rate, by disability [8.5.2]",,,Persons with disability,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,44.0
2015,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,"Unemployment rate, by disability [8.5.2]",,,Persons with disability,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,11.7
2012,Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population | Unemployment definition: Self-declared labour status,HS - European Health and Social Integration Survey,"Unemployment rate, by disability [8.5.2]",,,Persons without disability,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,13.0
2015,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,"Unemployment rate, by disability [8.5.2]",,,Persons without disability,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,4.7
2012,Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population | Unemployment definition: Self-declared labour status,HS - European Health and Social Integration Survey,"Unemployment rate, by disability [8.5.2]",Female,,,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,18.0
2015,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,"Unemployment rate, by disability [8.5.2]",Female,,,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,5.3
2012,Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population | Unemployment definition: Self-declared labour status,HS - European Health and Social Integration Survey,"Unemployment rate, by disability [8.5.2]",Female,,Persons with disability,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,43.0
2015,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,"Unemployment rate, by disability [8.5.2]",Female,,Persons with disability,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,10.8
2012,Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population | Unemployment definition: Self-declared labour status,HS - European Health and Social Integration Survey,"Unemployment rate, by disability [8.5.2]",Female,,Persons without disability,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,13.0
2015,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,"Unemployment rate, by disability [8.5.2]",Female,,Persons without disability,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,4.5
2012,Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population | Unemployment definition: Self-declared labour status,HS - European Health and Social Integration Survey,"Unemployment rate, by disability [8.5.2]",Male,,,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,17.0
2015,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,"Unemployment rate, by disability [8.5.2]",Male,,,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,5.7
2012,Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population | Unemployment definition: Self-declared labour status,HS - European Health and Social Integration Survey,"Unemployment rate, by disability [8.5.2]",Male,,Persons with disability,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,45.0
2015,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,"Unemployment rate, by disability [8.5.2]",Male,,Persons with disability,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,12.7
2012,Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population | Unemployment definition: Self-declared labour status,HS - European Health and Social Integration Survey,"Unemployment rate, by disability [8.5.2]",Male,,Persons without disability,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,13.0
2015,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,"Unemployment rate, by disability [8.5.2]",Male,,Persons without disability,"Data reference period: Second quarter | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: At least 12 months",LFS - Labour Force Survey,4.9
