Year,SERIES,Type of product,UNIT_MEASURE,Base period,Value
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,3.71571
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,3.52572
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,3.33818
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,3.53513
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,3.72076
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,3.49673
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,3.53175
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,3.61168
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,3.61438
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,3.63767
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,3.36899
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,3.40738
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,3.10918
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,2.95961
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,2.84528
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,2.90709
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,2.88012
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,2.66887
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,2.40641
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,2.33397
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,2.26232
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,0.90623
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,1.12049
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,0.96984
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,1.0053
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,1.01757
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,1.06526
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,1.13487
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,0.97986
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,0.98925
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,0.8753
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,0.68312
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,0.77536
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,0.93805
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,0.96221
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,0.82771
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,0.52804
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,0.50661
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,0.48542
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.37825
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.37231
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.30959
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.32532
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.35991
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.36161
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.37681
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.27258
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.26891
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.17839
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.16076
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.11534
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.09476
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.05662
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.06304
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.08668
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.06515
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,1.04385
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,1.25065
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,1.22796
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,1.21729
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,1.20113
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,1.23421
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,1.18752
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,1.12599
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,1.11654
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,1.14922
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,1.05549
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,1.11573
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,0.95459
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,0.87428
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,0.86129
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,0.77813
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,0.79169
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,0.76221
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,0.73305
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2010,0.3491
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2010,0.34755
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2010,0.32748
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2010,0.31374
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2010,0.31491
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2010,0.30151
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2010,0.29813
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2010,0.28628
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2010,0.27206
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2010,0.2449
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2010,0.23467
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2010,0.23409
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2010,0.22277
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2010,0.22215
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2010,0.21738
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2010,0.20217
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2010,0.19302
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,2010,0.18423
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2010,0.17311
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2010,0.17364
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2010,0.16001
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2010,0.15366
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2010,0.15448
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2010,0.14476
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2010,0.1418
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2010,0.13947
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2010,0.12301
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2010,0.10259
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2010,0.0957
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2010,0.09827
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2010,0.09069
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2010,0.08845
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2010,0.08876
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2010,0.0824
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2010,0.07672
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,2010,0.07123
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2010,0.00522
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2010,0.00551
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2010,0.00554
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2010,0.00513
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2010,0.00509
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2010,0.00518
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2010,0.00746
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2010,0.00698
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2010,0.0066
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2010,0.00717
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2010,0.00803
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2010,0.00748
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2010,0.00719
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2010,0.00761
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2010,0.00686
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2010,0.00695
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2010,0.00708
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2010,0.00721
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2010,0.06321
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2010,0.05702
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2010,0.05979
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2010,0.0555
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2010,0.05572
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2010,0.05445
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2010,0.05275
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2010,0.05079
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2010,0.05349
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2010,0.05264
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2010,0.05148
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2010,0.0528
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2010,0.04856
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2010,0.05061
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2010,0.05245
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2010,0.05134
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2010,0.0505
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2010,0.04969
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2010,0.02636
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2010,0.02539
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2010,0.02664
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2010,0.02385
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2010,0.02457
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2010,0.02357
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2010,0.02252
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2010,0.02145
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2010,0.02397
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2010,0.02407
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2010,0.02193
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2010,0.02315
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2010,0.02149
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2010,0.02376
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2010,0.02449
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2010,0.02404
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2010,0.02372
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2010,0.02341
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2010,0.009
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2010,0.00721
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2010,0.00846
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2010,0.00793
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2010,0.00786
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2010,0.00748
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2010,0.00718
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2010,0.0066
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2010,0.00798
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2010,0.00756
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2010,0.00739
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2010,0.00766
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2010,0.00685
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2010,0.00667
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2010,0.0078
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2010,0.00765
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2010,0.00755
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2010,0.00745
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2010,0.01629
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2010,0.01297
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2010,0.0138
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2010,0.01325
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2010,0.01314
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2010,0.01311
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2010,0.01333
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2010,0.0132
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2010,0.0131
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2010,0.01284
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2010,0.01332
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2010,0.0138
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2010,0.01282
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2010,0.01257
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2010,0.01229
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2010,0.01207
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2010,0.01193
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2010,0.01179
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2010,0.01111
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2010,0.01097
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2010,0.01044
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2010,0.01009
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2010,0.00979
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2010,0.00992
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2010,0.00933
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2010,0.0092
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2010,0.00809
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2010,0.00785
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2010,0.00855
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2010,0.0079
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2010,0.00712
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2010,0.00733
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2010,0.00754
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2010,0.00727
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2010,0.007
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2010,0.00675
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2010,0.00045
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2010,0.00047
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2010,0.00045
