Year,Observation-level footnotes,SERIES,Sex,COMPOSITE_BREAKDOWN,Value
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-EU Migrant,0.0
2000,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,,333.9
2001,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,,319.5
2002,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,,320.2
2003,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,,347.0
2004,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,,327.0
2005,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,,323.6
2006,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,,301.4
2009,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,,677.2
2010,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,,687.9
2011,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,,656.9
2012,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,,614.6
2013,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,,645.9
2014,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,,632.8
2015,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,,589.3
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: EU Migrant,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: EU Migrant,0.0
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: EU Migrant,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: EU Migrant,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: EU Migrant,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: EU Migrant,1.2
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: EU Migrant,0.0
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-migrant,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-migrant,747.0
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-migrant,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-migrant,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-migrant,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-migrant,0.3
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-migrant,0.0
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-EU Migrant,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-EU Migrant,0.0
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-EU Migrant,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-EU Migrant,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-EU Migrant,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-EU Migrant,0.0
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-EU Migrant,0.0
2000,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,,945.6
2001,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,,922.1
2002,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,,901.9
2003,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,,906.0
2004,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,,841.0
2005,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,,798.0
2006,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,,723.5
2009,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,,1121.0
2010,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,,1094.9
2011,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,,1044.9
2012,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,,916.3
2013,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,,994.3
2014,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,,999.5
2015,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,,908.5
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: EU Migrant,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: EU Migrant,0.0
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: EU Migrant,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: EU Migrant,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: EU Migrant,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: EU Migrant,4.8
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: EU Migrant,0.0
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-migrant,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-migrant,1196.8
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-migrant,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-migrant,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-migrant,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-migrant,2.3
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-migrant,0.0
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-EU Migrant,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-EU Migrant,0.0
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-EU Migrant,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-EU Migrant,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-EU Migrant,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-EU Migrant,5.2
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-EU Migrant,0.0
