Year,SOURCE_DETAIL,SDG Series,Composite breakdown,Source details,Value
2019,IBRD Financial Statements June 2019 ,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,IBRD Financial Statements June 2020,3.7087
2020,IBRD Financial Statements June 2020,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,IBRD Financial Statements June 2020,3.89409
2000,IFC 2000 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2020 Annual Report Volume 2,5.0505
2005,IFC 2005 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2020 Annual Report Volume 2,5.0351
2010,IFC 2010 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2020 Annual Report Volume 2,5.0215
2015,IFC 2015 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2020 Annual Report Volume 2,4.4889
2016,IFC 2016 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2020 Annual Report Volume 2,4.4889
2017,IFC 2017 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2020 Annual Report Volume 2,4.4889
2018,IFC 2018 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2020 Annual Report Volume 2,4.484
2019,IFC 2019 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2020 Annual Report Volume 2,4.4542
2020,IFC 2020 Annual Report Volume 2,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2020 Annual Report Volume 2,4.4849116
2000,IMF Annual Report 2000,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2020,5.0279
2005,IMF Annual Report 2005,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2020,4.948
2010,IMF Annual Report 2010,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2020,4.8602
2015,IMF Annual Report 2015,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2020,4.2896
2016,IMF Annual Report 2016,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2020,4.069
2017,IMF Annual Report 2017,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2020,4.0357
2018,IMF Annual Report 2018,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2020,4.0348
2019,IMF Annual Report 2019,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2020,4.03481
2020,IMF Annual Report 2020,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2020,4.03267
2000,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5291
2005,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5236
2010,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5208
2015,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5181
2016,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5181
2017,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5181
2018,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5181
2019,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5181
2020,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5181
2000,Report of the Security Council (A/55/2),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,Security Council website https://www.un.org/securitycouncil/content/current-members,6.6667
2005,Report of the Security Council (A/60/2),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,Security Council website https://www.un.org/securitycouncil/content/current-members,6.6667
2010,Report of the Security Council (A/65/2),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,Security Council website https://www.un.org/securitycouncil/content/current-members,6.6667
2015,Report of the Security Council (A/70/2),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,Security Council website https://www.un.org/securitycouncil/content/current-members,6.6667
2016,Report of the Security Council (A/71/2),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,Security Council website https://www.un.org/securitycouncil/content/current-members,6.6667
2017,Report of the Security Council for 2017 (A/72/2),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,Security Council website https://www.un.org/securitycouncil/content/current-members,6.6667
2018,Report of the Security Council for 2018 (A/73/2),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,Security Council website https://www.un.org/securitycouncil/content/current-members,6.6667
2019,Report of the Security Council for 2019 (A/74/2),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,Security Council website https://www.un.org/securitycouncil/content/current-members,6.6667
2020,Security Council website https://www.un.org/securitycouncil/content/current-members,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,Security Council website https://www.un.org/securitycouncil/content/current-members,6.66667
2000,WTO Annual Report 2015,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2020,0.7143
2005,WTO Annual Report 2015,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2020,0.6711
2010,WTO Annual Report 2015,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2020,0.6536
2015,WTO Annual Report 2015,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2020,0.625
2016,WTO Annual Report 2016,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2020,0.6173
2017,WTO Annual Report 2017,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2020,0.6098
2018,WTO Annual Report 2018,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2020,0.6098
2019,WTO Annual Report 2019,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2020,0.6098
2020,WTO Annual Report 2020,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2020,0.60976
