Year,SERIES,UNIT_MEASURE,PRODUCT,OBS_STATUS,UNIT_MULT,REPORTING_TYPE,Value
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Biomass (material flows),Normal value,Units,National,69.02352559
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Fossil fuels (material flows),Normal value,Units,National,73.52073635
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Fossil fuels (material flows),Normal value,Units,National,77.20976633
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Fossil fuels (material flows),Normal value,Units,National,70.32382248
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Fossil fuels (material flows),Normal value,Units,National,67.24740076
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Fossil fuels (material flows),Normal value,Units,National,62.53086494
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Fossil fuels (material flows),Normal value,Units,National,62.17049647
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Fossil fuels (material flows),Normal value,Units,National,60.29585802
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Fossil fuels (material flows),Normal value,Units,National,54.15923515
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Fossil fuels (material flows),Normal value,Units,National,57.8926684
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Fossil fuels (material flows),Normal value,Units,National,65.08635603
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Fossil fuels (material flows),Normal value,Units,National,60.50517098
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Fossil fuels (material flows),Normal value,Units,National,58.41559958
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Fossil fuels (material flows),Normal value,Units,National,59.80754157
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Fossil fuels (material flows),Normal value,Units,National,56.9967971
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Fossil fuels (material flows),Normal value,Units,National,50.02572855
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Fossil fuels (material flows),Normal value,Units,National,50.11659907
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Fossil fuels (material flows),Normal value,Units,National,52.11724373
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Fossil fuels (material flows),Normal value,Units,National,53.34352291
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Fossil fuels (material flows),Normal value,Units,National,51.64954345
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Fossil fuels (material flows),Normal value,Units,National,53.39441975
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Metal ores (material flows),Normal value,Units,National,5.184543138
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Metal ores (material flows),Normal value,Units,National,6.472067493
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Metal ores (material flows),Normal value,Units,National,5.7370893
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Metal ores (material flows),Normal value,Units,National,4.789975448
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Metal ores (material flows),Normal value,Units,National,4.746509736
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Metal ores (material flows),Normal value,Units,National,4.280829177
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Metal ores (material flows),Normal value,Units,National,4.436545026
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Metal ores (material flows),Normal value,Units,National,4.644529666
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Metal ores (material flows),Normal value,Units,National,3.949049483
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Metal ores (material flows),Normal value,Units,National,1.950166303
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Metal ores (material flows),Normal value,Units,National,2.953524988
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Metal ores (material flows),Normal value,Units,National,2.721238457
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Metal ores (material flows),Normal value,Units,National,3.034454171
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Metal ores (material flows),Normal value,Units,National,3.935726877
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Metal ores (material flows),Normal value,Units,National,4.362930609
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Metal ores (material flows),Normal value,Units,National,4.247438704
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Metal ores (material flows),Normal value,Units,National,4.264290401
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Metal ores (material flows),Normal value,Units,National,4.237033764
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Metal ores (material flows),Normal value,Units,National,4.022322271
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Metal ores (material flows),Normal value,Units,National,5.024219756
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Non-metallic minerals (material flows),Normal value,Units,National,91.0786911
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Non-metallic minerals (material flows),Normal value,Units,National,96.85438309
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Non-metallic minerals (material flows),Normal value,Units,National,88.0100853
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Non-metallic minerals (material flows),Normal value,Units,National,78.11791955
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Non-metallic minerals (material flows),Normal value,Units,National,72.59804171
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Non-metallic minerals (material flows),Normal value,Units,National,70.56958573
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Non-metallic minerals (material flows),Normal value,Units,National,69.73470357
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Non-metallic minerals (material flows),Normal value,Units,National,65.50268878
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Non-metallic minerals (material flows),Normal value,Units,National,65.5606884
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Non-metallic minerals (material flows),Normal value,Units,National,64.19664839
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Non-metallic minerals (material flows),Normal value,Units,National,63.57730263
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Non-metallic minerals (material flows),Normal value,Units,National,60.92025808
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Non-metallic minerals (material flows),Normal value,Units,National,57.55142029
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Non-metallic minerals (material flows),Normal value,Units,National,61.85239643
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Non-metallic minerals (material flows),Normal value,Units,National,62.58427237
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Non-metallic minerals (material flows),Normal value,Units,National,65.28612982
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Non-metallic minerals (material flows),Normal value,Units,National,76.92162037
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Non-metallic minerals (material flows),Normal value,Units,National,81.05222566
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Non-metallic minerals (material flows),Normal value,Units,National,80.93105869
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Non-metallic minerals (material flows),Normal value,Units,National,81.28623843
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,,Normal value,Units,National,225.7871516
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,,Normal value,Units,National,236.9181129
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,,Normal value,Units,National,219.3087112
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,,Normal value,Units,National,199.0089112
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,,Normal value,Units,National,185.0046183
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,,Normal value,Units,National,181.5959244
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,,Normal value,Units,National,177.7374393
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,,Normal value,Units,National,162.643647
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,,Normal value,Units,National,172.6563103
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,,Normal value,Units,National,184.4772446
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,,Normal value,Units,National,180.0532712
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,,Normal value,Units,National,174.4619579
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,,Normal value,Units,National,171.6982768
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,,Normal value,Units,National,178.114093
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,,Normal value,Units,National,172.4758766
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,,Normal value,Units,National,176.4993963
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,,Normal value,Units,National,195.2596481
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,,Normal value,Units,National,208.7470758
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,,Normal value,Units,National,202.2079501
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,,Normal value,Units,National,212.5544518
