Year,SERIES,UNIT_MEASURE,Type of product,Observation status,Unit multiplier,Reporting type,Base period,Value
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,0.34018
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,0.31833
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,0.33363
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,0.29971
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,0.23574
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,0.23011
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,0.1751
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,0.19595
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,0.18757
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,3.09587
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,2.91629
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,2.98074
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,2.8883
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,2.91838
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,2.90933
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,2.81181
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,2.70623
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,2.77472
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,2.64226
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,2.5744
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,2.59919
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,2.53044
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,2.68425
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,2.82396
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,2.80303
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,2.68915
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,2.86145
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,2.76447
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,2.75418
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,0.9416
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,0.92947
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,0.99335
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,0.91275
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,0.95693
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,0.94015
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,0.91027
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,0.87922
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,0.96466
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,0.91794
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,0.84462
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,0.89846
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,0.83908
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,0.93968
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,0.97989
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,0.9027
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,0.81583
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,0.96499
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,0.88275
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,0.86136
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,0.31923
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,0.26217
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,0.31423
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,0.30288
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,0.30548
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,0.29808
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,0.29106
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,0.2713
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,0.32334
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,0.29015
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,0.2856
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,0.29826
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,0.26842
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,0.26477
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,0.31703
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,0.31963
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,0.27295
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,0.28987
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,0.26443
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,0.26435
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,1.56765
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,1.45352
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,1.4147
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,1.42746
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,1.42474
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,1.43196
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,1.39703
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,1.34859
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,1.30697
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,1.26895
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,1.26117
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,1.2385
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,1.23199
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,1.22382
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,1.22363
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,1.21929
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,1.22771
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,1.22522
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,1.19899
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,1.18707
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,0.25391
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,0.25686
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,0.24501
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,0.23427
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,0.2207
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,0.22828
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,0.20074
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,0.19712
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,0.16976
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,0.15682
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,0.17728
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,0.15732
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,0.18452
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,0.25018
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,0.30077
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,0.35858
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,0.36752
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,0.37755
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,0.4135
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,0.43698
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,0.01349
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,0.01426
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,0.01345
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,0.01094
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,0.01052
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,0.01086
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,0.0127
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,0.01
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,0.00998
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,0.00841
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,0.00573
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,0.00665
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,0.00643
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,0.0058
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,0.00264
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,0.00283
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,0.00515
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,0.00381
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,0.00481
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,0.00443
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,0.32152
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,0.33078
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,0.33271
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,0.35016
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,0.34367
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,0.33968
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,0.3552
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,0.35398
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,0.29133
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,0.15525
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,0.22586
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,0.21963
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,0.20461
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,0.23828
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,0.23447
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,0.21837
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,0.24477
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,0.22458
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,0.21951
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,0.19423
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,0.29217
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,0.29394
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,0.2799
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,0.3055
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,0.29527
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,0.29176
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,0.30737
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,0.31204
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,0.25335
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,0.12352
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,0.18602
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,0.18098
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,0.17726
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,0.2039
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,0.21947
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,0.19652
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,0.2033
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,0.17047
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,0.17559
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,0.15193
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-ferrous ores (material flows),Normal value,Units,Global,,0.02935
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-ferrous ores (material flows),Normal value,Units,Global,,0.03683
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-ferrous ores (material flows),Normal value,Units,Global,,0.05281
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-ferrous ores (material flows),Normal value,Units,Global,,0.04465
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-ferrous ores (material flows),Normal value,Units,Global,,0.0484
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-ferrous ores (material flows),Normal value,Units,Global,,0.04792
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-ferrous ores (material flows),Normal value,Units,Global,,0.04783
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-ferrous ores (material flows),Normal value,Units,Global,,0.04195
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-ferrous ores (material flows),Normal value,Units,Global,,0.03799
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-ferrous ores (material flows),Normal value,Units,Global,,0.03173
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-ferrous ores (material flows),Normal value,Units,Global,,0.03984
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-ferrous ores (material flows),Normal value,Units,Global,,0.03865
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-ferrous ores (material flows),Normal value,Units,Global,,0.02735
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-ferrous ores (material flows),Normal value,Units,Global,,0.03438
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-ferrous ores (material flows),Normal value,Units,Global,,0.015
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-ferrous ores (material flows),Normal value,Units,Global,,0.02185
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-ferrous ores (material flows),Normal value,Units,Global,,0.04147
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-ferrous ores (material flows),Normal value,Units,Global,,0.05411
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-ferrous ores (material flows),Normal value,Units,Global,,0.04392
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-ferrous ores (material flows),Normal value,Units,Global,,0.04229
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Units,Global,,6.45455
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Units,Global,,6.60781
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Units,Global,,6.24664
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Units,Global,,6.09139
