Year,SOURCE_DETAIL,SDG Series,Age,Education level,Composite breakdown,Source details,COMMENT_OBS,Observation-level footnotes,Value
2012,England country only. Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,"Adjusted gender parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio) [4.5.1]",16 to 65 years old,,Skill: Functional literacy,England country only. Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,,,1.00608
2012,England country only. Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,"Adjusted gender parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio) [4.5.1]",16 to 65 years old,,Skill: Functional numeracy,England country only. Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,,,0.92303
2018,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,Adjusted rural to urban parity index for achieving a minimum proficiency level in reading and mathematics (ratio) [4.5.1],,Lower secondary education,Skill: Mathematics,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,,1.06812
2018,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,Adjusted rural to urban parity index for achieving a minimum proficiency level in reading and mathematics (ratio) [4.5.1],,Lower secondary education,Skill: Reading,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,,1.04169
2015,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio) [4.5.1],,Lower secondary education,Skill: Mathematics,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,,0.75151
2018,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio) [4.5.1],,Lower secondary education,Skill: Mathematics,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,,0.75881
2015,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio) [4.5.1],,Lower secondary education,Skill: Reading,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,,0.80883
2018,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio) [4.5.1],,Lower secondary education,Skill: Reading,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,,0.81057
2012,England country only. Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,"Adjusted low to high socio-economic parity status index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio) [4.5.1]",16 to 65 years old,,Skill: Functional literacy,England country only. Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,,,0.77629
2012,England country only. Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,"Adjusted low to high socio-economic parity status index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio) [4.5.1]",16 to 65 years old,,Skill: Functional numeracy,England country only. Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,,,0.6747
