Year,COMMENT_OBS,SDG Series,Custom Breakdown,Label for custom breakdown,Observation-level footnotes,Value
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 388,Jamaica,Third quarter of the specified year. Global SmaRT Average: 4.47%.,8.57534
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 388,Jamaica,Third quarter of the specified year. Global SmaRT Average: 4.47%.,5.86408
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 388,Jamaica,Third quarter of the specified year. Global SmaRT Average: 4.47%.,5.99303
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 388,Jamaica,Third quarter of the specified year. Global SmaRT Average: 4.47%.,6.42265
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 404,Kenya,Third quarter of the specified year. Global SmaRT Average: 4.47%.,6.66103
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 404,Kenya,Third quarter of the specified year. Global SmaRT Average: 4.47%.,2.21451
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 404,Kenya,Third quarter of the specified year. Global SmaRT Average: 4.47%.,2.32206
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 404,Kenya,Third quarter of the specified year. Global SmaRT Average: 4.47%.,1.2594
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 422,Lebanon,Third quarter of the specified year. Global SmaRT Average: 4.47%.,19.0247
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 422,Lebanon,Third quarter of the specified year. Global SmaRT Average: 4.47%.,8.93644
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 422,Lebanon,Third quarter of the specified year. Global SmaRT Average: 4.47%.,7.43055
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 440,Lithuania,Third quarter of the specified year. Global SmaRT Average: 4.47%.,7.94171
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 440,Lithuania,Third quarter of the specified year. Global SmaRT Average: 4.47%.,1.59625
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 440,Lithuania,Third quarter of the specified year. Global SmaRT Average: 4.47%.,1.25433
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 440,Lithuania,Third quarter of the specified year. Global SmaRT Average: 4.47%.,0.73337
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 50,Bangladesh,Third quarter of the specified year. Global SmaRT Average: 4.47%.,6.07263
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 50,Bangladesh,Third quarter of the specified year. Global SmaRT Average: 4.47%.,3.29793
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 50,Bangladesh,Third quarter of the specified year. Global SmaRT Average: 4.47%.,2.62472
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 50,Bangladesh,Third quarter of the specified year. Global SmaRT Average: 4.47%.,2.30805
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 524,Nepal,Third quarter of the specified year. Global SmaRT Average: 4.47%.,8.14847
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 524,Nepal,Third quarter of the specified year. Global SmaRT Average: 4.47%.,5.94243
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 524,Nepal,Third quarter of the specified year. Global SmaRT Average: 4.47%.,5.28434
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 524,Nepal,Third quarter of the specified year. Global SmaRT Average: 4.47%.,4.85054
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 566,Nigeria,Third quarter of the specified year. Global SmaRT Average: 4.47%.,7.16573
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 566,Nigeria,Third quarter of the specified year. Global SmaRT Average: 4.47%.,4.83867
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 566,Nigeria,Third quarter of the specified year. Global SmaRT Average: 4.47%.,2.75769
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 566,Nigeria,Third quarter of the specified year. Global SmaRT Average: 4.47%.,4.75291
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 586,Pakistan,Third quarter of the specified year. Global SmaRT Average: 4.47%.,5.26778
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 586,Pakistan,Third quarter of the specified year. Global SmaRT Average: 4.47%.,1.26418
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 586,Pakistan,Third quarter of the specified year. Global SmaRT Average: 4.47%.,1.83904
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 586,Pakistan,Third quarter of the specified year. Global SmaRT Average: 4.47%.,2.34338
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 608,Philippines,Third quarter of the specified year. Global SmaRT Average: 4.47%.,7.77746
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 608,Philippines,Third quarter of the specified year. Global SmaRT Average: 4.47%.,2.48197
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 608,Philippines,Third quarter of the specified year. Global SmaRT Average: 4.47%.,2.52014
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 608,Philippines,Third quarter of the specified year. Global SmaRT Average: 4.47%.,0.69805
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 616,Poland,Third quarter of the specified year. Global SmaRT Average: 4.47%.,5.95554
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 616,Poland,Third quarter of the specified year. Global SmaRT Average: 4.47%.,1.39632
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 616,Poland,Third quarter of the specified year. Global SmaRT Average: 4.47%.,0.99579
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 616,Poland,Third quarter of the specified year. Global SmaRT Average: 4.47%.,0.87085
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 642,Romania,Third quarter of the specified year. Global SmaRT Average: 4.47%.,9.79174
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 642,Romania,Third quarter of the specified year. Global SmaRT Average: 4.47%.,1.18776
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 642,Romania,Third quarter of the specified year. Global SmaRT Average: 4.47%.,1.20761
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 642,Romania,Third quarter of the specified year. Global SmaRT Average: 4.47%.,1.08052
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 646,Rwanda,Third quarter of the specified year. Global SmaRT Average: 4.47%.,14.91966
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 646,Rwanda,Third quarter of the specified year. Global SmaRT Average: 4.47%.,8.65045
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 646,Rwanda,Third quarter of the specified year. Global SmaRT Average: 4.47%.,6.96817
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 646,Rwanda,Third quarter of the specified year. Global SmaRT Average: 4.47%.,6.92753
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 694,Sierra Leone,Third quarter of the specified year. Global SmaRT Average: 4.47%.,10.05245
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 694,Sierra Leone,Third quarter of the specified year. Global SmaRT Average: 4.47%.,8.71736
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 694,Sierra Leone,Third quarter of the specified year. Global SmaRT Average: 4.47%.,10.27892
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 694,Sierra Leone,Third quarter of the specified year. Global SmaRT Average: 4.47%.,13.48656
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 704,Viet Nam,Third quarter of the specified year. Global SmaRT Average: 4.47%.,10.7631
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 704,Viet Nam,Third quarter of the specified year. Global SmaRT Average: 4.47%.,3.1193
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 704,Viet Nam,Third quarter of the specified year. Global SmaRT Average: 4.47%.,3.32255
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 706,Somalia,Third quarter of the specified year. Global SmaRT Average: 4.47%.,7.8052
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 706,Somalia,Third quarter of the specified year. Global SmaRT Average: 4.47%.,7.26049
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 706,Somalia,Third quarter of the specified year. Global SmaRT Average: 4.47%.,8.07733
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 706,Somalia,Third quarter of the specified year. Global SmaRT Average: 4.47%.,8.75248
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 710,South Africa,Third quarter of the specified year. Global SmaRT Average: 4.47%.,8.53432
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 710,South Africa,Third quarter of the specified year. Global SmaRT Average: 4.47%.,3.47013
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 710,South Africa,Third quarter of the specified year. Global SmaRT Average: 4.47%.,2.90627
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 710,South Africa,Third quarter of the specified year. Global SmaRT Average: 4.47%.,1.52713
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 716,Zimbabwe,Third quarter of the specified year. Global SmaRT Average: 4.47%.,8.32198
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 716,Zimbabwe,Third quarter of the specified year. Global SmaRT Average: 4.47%.,5.4459
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 716,Zimbabwe,Third quarter of the specified year. Global SmaRT Average: 4.47%.,5.80353
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 716,Zimbabwe,Third quarter of the specified year. Global SmaRT Average: 4.47%.,6.3419
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 728,South Sudan,Obs_Value = NaN;  Third quarter of the specified year. Global SmaRT Average: 4.47%.,11.32167
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 728,South Sudan,Obs_Value = NaN;  Third quarter of the specified year. Global SmaRT Average: 4.47%.,16.03512
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 76,Brazil,Third quarter of the specified year. Global SmaRT Average: 4.47%.,6.65735
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 76,Brazil,Third quarter of the specified year. Global SmaRT Average: 4.47%.,-1.34783
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 76,Brazil,Third quarter of the specified year. Global SmaRT Average: 4.47%.,2.14565
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 76,Brazil,Third quarter of the specified year. Global SmaRT Average: 4.47%.,2.48654
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 764,Thailand,Third quarter of the specified year. Global SmaRT Average: 4.47%.,13.09609
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 764,Thailand,Third quarter of the specified year. Global SmaRT Average: 4.47%.,3.17313
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 764,Thailand,Third quarter of the specified year. Global SmaRT Average: 4.47%.,2.7412
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 764,Thailand,Third quarter of the specified year. Global SmaRT Average: 4.47%.,2.26984
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 800,Uganda,Third quarter of the specified year. Global SmaRT Average: 4.47%.,9.95977
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 800,Uganda,Third quarter of the specified year. Global SmaRT Average: 4.47%.,3.35742
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 800,Uganda,Third quarter of the specified year. Global SmaRT Average: 4.47%.,3.1589
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 800,Uganda,Third quarter of the specified year. Global SmaRT Average: 4.47%.,3.95852
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 834,United Republic of Tanzania,Third quarter of the specified year. Global SmaRT Average: 4.47%.,11.64004
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 834,United Republic of Tanzania,Third quarter of the specified year. Global SmaRT Average: 4.47%.,4.75252
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 834,United Republic of Tanzania,Third quarter of the specified year. Global SmaRT Average: 4.47%.,5.27926
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 834,United Republic of Tanzania,Third quarter of the specified year. Global SmaRT Average: 4.47%.,5.80142
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 894,Zambia,Third quarter of the specified year. Global SmaRT Average: 4.47%.,9.94294
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 894,Zambia,Third quarter of the specified year. Global SmaRT Average: 4.47%.,10.88788
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 894,Zambia,Third quarter of the specified year. Global SmaRT Average: 4.47%.,7.62098
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 894,Zambia,Third quarter of the specified year. Global SmaRT Average: 4.47%.,8.62322
